date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263ae048a-239b%22	https://themewagon.github.io/robots.txt		(from )
20:41:39	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade8-d6c4%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/index.html	(from )
20:41:40	176523/176523	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-2b18b%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:40	2598/2598	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-a26%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:40	6635/6635	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-19eb%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:40	33818/33818	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-841a%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:40	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-d17%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:41	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-3f5%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:41	793043/793043	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-c19d3%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:41	1039/1039	---M--	200	added ('OK')	image/png	etag:%22639aade8-40f%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
20:41:42	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade8-d6c4%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/index.html	G:/HTTPTRAIK/Employee_Managment/themewagon.github.io/corona-free-dark-bootstrap-admin-template/index-2.html	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
